symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km
3,122,88.6,0.8111,0.8903,0.8161,2548,130,3.47,2.68,9.0,111,5000.0,21,8.7037,13495.0,11.1905
3,122,88.6,0.8111,0.8903,0.8161,2548,130,3.47,2.68,9.0,111,5000.0,21,8.7037,16500.0,11.1905
1,122,94.5,0.8227,0.9097,0.8763,2823,152,2.68,3.47,9.0,154,5000.0,19,9.0385,16500.0,12.3684
2,164,99.8,0.8486,0.9194,0.908,2337,109,3.19,3.4,10.0,102,5500.0,24,7.8333,13950.0,9.7917
2,164,99.4,0.8486,0.9222,0.908,2824,136,3.19,3.4,8.0,115,5500.0,18,10.6818,17450.0,13.0556
2,122,99.8,0.852,0.9208,0.888,2507,136,3.19,3.4,8.5,110,5500.0,19,9.4,15250.0,12.3684
1,158,105.8,0.926,0.9917,0.9314,2844,136,3.19,3.4,8.5,110,5500.0,19,9.4,17710.0,12.3684
1,122,105.8,0.926,0.9917,0.9314,2954,136,3.19,3.4,8.5,110,5500.0,19,9.4,18920.0,12.3684
1,158,105.8,0.926,0.9917,0.9348,3086,131,3.13,3.4,8.3,140,5500.0,17,11.75,23875.0,13.8235
2,192,101.2,0.8496,0.9,0.908,2395,108,3.5,2.8,8.8,101,5800.0,23,8.1034,16430.0,10.2174
0,192,101.2,0.8496,0.9,0.908,2395,108,3.5,2.8,8.8,101,5800.0,23,8.1034,16925.0,10.2174
0,188,101.2,0.8496,0.9,0.908,2710,164,3.31,3.19,9.0,121,4250.0,21,8.3929,20970.0,11.1905
0,188,101.2,0.8496,0.9,0.908,2765,164,3.31,3.19,9.0,121,4250.0,21,8.3929,21105.0,11.1905
1,122,103.5,0.9082,0.9292,0.9314,3055,164,3.31,3.19,9.0,121,4250.0,20,9.4,24565.0,11.75
0,122,103.5,0.9082,0.9292,0.9314,3230,209,3.62,3.39,8.0,182,5400.0,16,10.6818,30760.0,14.6875
